천간,팔괘의 의미,글자의 의미,특징,물상
寅,,(범 인)자는 화살을 잃어버리지 않게 줄을 매단 모양을 본뜬 글자로써 날아가는 화살처럼 매우 빠르고 용맹하여 그 두려움에 열두 띠 중에 하나로 삼았다. 화살을 길게 당긴다는 핵심적인 뜻을 가지고 있다. 용모가 준수하고 웅변에 능한 사람이 많다. ,염세적. 이기주의. 공격적. 무관심. 자포자기 ,학교.화랑.목재소.서점.터미널.통신.산림.우체국.신문사.학원.극장.전파사.전자제품.전기.자동차.공무원.안테나.인공위성.엔지니어.문구점 
卯,,(토끼 묘)자는 모험을 한다는 뜻으로 만물이 땅위로 솟아나려는 것과 같은 모양이다. 토끼를 식육가축으로 매우 유용하게 생각하여 열두 띠 중에 하나로 삼았다. 막다. 무릅쓰다. 가늘고 길다는 핵심적인 뜻이 있다. 글자모양이 둘로 갈라진 모양이라서 이별수가 있고 사리분별이 매우 뚜렷하다고 한다. ,영리하다. 예술적 감각이 뛰어남. 성급. 논리적 ,붓.인쇄.약초.채소.미용실.인테리어.장식.의상실.패션.화장품.대서소.포목.디자인.설계.화원.과수원.농장.가구점.꽃집.공예품.봉제공장 
辰,,(별 진)자로 농경사회에서 농사는 기후와 관련이 많아 매우 중요한데 비구름을 관장하는 존재를 상상의 동물인 용으로 생각하여 열두 띠 중에 하나로 삼았다. 또한 농기구 모양과 비슷한 것을 본 뜬 모양이다. 많다. 꿈틀꿈틀이라는 핵심적인 뜻을 가지고 있다. ,통이 크고 현실에 집착하지 않으며 주변 눈치를 안보고 마음대로 행동하는 사람이다. ,기상청.냉장고.물통.항만.부두.법원.지붕.사찰.교도관.군부대.경찰서.사당.묘지.전답.해물.염전.수산.세관.창고.중국집.목욕탕.호수.수력발전소 
巳,,(뱀 사)자는 뱀이 나무 사이를 기어가는 모양을 본 떠서 만든 글자다. 구부렸다가 앞으로 나가는 게 땅을 긁는 모양이라 하여 긁다와 길다라는 핵심적인 뜻이 있다. ,영리하고 숨은 재주가 많으며 사람들과의 교제가 오래가지 못하고 허영심이 많다. ,플라스틱.고무.신발.타이어.석유.화학.공항.대사관.전산.예식장.염색.사진관.조명.레이저.광선.공연.주유소.화공약품.방송.광고.비행기 
午,,(낮 오)자는 절구대 모양을 본떠서 만든 글자로 올라갔다. 내려갔다 하는 것 같이 (교차하다. 어긋나다)라는 의미가 있다. 옛날에는 교통수단으로서 말이 매우 중요하였고 그 소중함 때문에 열두 띠 중에 하나로 삼았다. ,실리적이고 환상에 치우쳐 게으른 사람이 많다. ,보도.라이터.전화.렌즈.안과.시력.카메라.거울.유리.간판.정신과.대학교.연구소.경마장.번화가.무용.학자.배우.문화.예술.문필.적외선 
未,,(아닐 미)자로 나무가 무성한 모양을 본뜬 글자다. 양은 젖과 고기 그리고 털과 가죽까지 매우 유용한 가축이어서 열두 띠 중에 하나로 삼았다. 양은 사람이 먹을 수 있는 풀인지를 알아 볼 수 있는 첫 번째 사육동물이었다. ,자존심이 매우 강하고 거만한 편이고 타인에게 좋고 싫음을 밖으로 표출하지 않는 사람이 많다. ,공원.축구장.야구장.골프장.공연장.목장.갤러리.초원.학원.학교/식품업.산림업.이불.교회.제사.교량.토건.도자기.언덕 
申,,(납 신)자는 두렵고 무서운 귀신들의 대표 격으로 원숭이를 택하여 열두 띠 중에 하나로 삼았다. 하늘에서 번개가 빛을 뻗칠 때의 모습을 본 뜬 모양의 글자로 (뻗치다)라는 핵심적인 뜻을 지닌다.,명석하고 재주가 비상하고 약삭빠른 사람이 많다. 이기주의적인 성향이 강하고 유머가 많은 사람이다.,여행사.기차.철도.전철.조선소.정류장.관광.은행.사냥꾼.농기구.절단기.전선.야전부대.군부대.승강기.총포사.기계.무기.중장비.금속
酉,,(닭 유)자는 아가리는 좁고 배가 불룩한 술단지 모양을 본뜬 글자이다. 제사를 지낼 때 바치는 재물로 집에서 사육하던 닭을 택하여 사용하였고 그 중요성에 닭을 열두 띠 중에 하나로 삼았다. (술. 술단지)라는 핵심적인 뜻을 가지고 있다.,필요 이상으로 생각이 많아서 신경과민으로 고생하는 사람이 많고 단순하고 의리가 있으나 사회적응이 어렵다. ,주점.술잔.귀금속.다이아몬드.유리.정밀기계.시계.분쇄기.바늘.거울.금융.칼날.총알.침술.마취.공구.알루미늄.치킨.트로피 
戌,,(개 술)자는 전투용 도끼를 본뜬 모양의 글자. 무기는 사냥이나 본인의 생명을 지키기 위해서 꼭 필요한 필수품인데 개가 집을 지켜 주므로 戌자가 개가 된 것이다. (도끼. 개. 지키다)라는 핵심적인 뜻이 있다.,말주변이 탁월하고 달변가이며 음량이 풍부하고 다소 가벼운 언동을 하는 사람이 많다. ,백사장.도자기.시멘트.광장.타일.벽돌.무대.운동장.관광지.도심지.지하상가.찜질방.도서관.불가마.정보부.감사원.통계청.반도체.극장.국회.서점.컴퓨터.무기 
亥,,(멧돼지 해)자는 사나운 멧돼지를 본떠서 만든 글자이다. 강하고 억센 뼈대와 어금니를 가지고 학학거리며 저돌적인 모습을 보고 (뼈대를 갖추다. 학학거리다)라는 핵심적인 뜻을 가진다. ,희생정신이 강하고 독립심도 강하며 남이 안하는 일을해서 성공을 거두고 건망증이 심한 사람이 많다.,해벽.무역.선박.축산.상수도.취사장.어장.수력발전.소방서.치과.빨래방.조선소.군함.배설.방광.욕실.돼지.선원.해초.어류.온천.부두
